sample,sampleName,TranscriptIntegrityStats
ID0895a850,sample_10,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID0895a850/TranscriptIntegrityStats.json.gz
ID0ffd663d,sample_03,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID0ffd663d/TranscriptIntegrityStats.json.gz
ID5161237a,sample_01,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID5161237a/TranscriptIntegrityStats.json.gz
ID553a648c,sample_07,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID553a648c/TranscriptIntegrityStats.json.gz
ID79cc5d62,sample_08,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID79cc5d62/TranscriptIntegrityStats.json.gz
ID7af534fc,sample_04,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID7af534fc/TranscriptIntegrityStats.json.gz
ID8e38fe8e,sample_05,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID8e38fe8e/TranscriptIntegrityStats.json.gz
IDcc4801c4,sample_09,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/IDcc4801c4/TranscriptIntegrityStats.json.gz
IDece009da,sample_06,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/IDece009da/TranscriptIntegrityStats.json.gz
IDfb32ff84,sample_02,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/IDfb32ff84/TranscriptIntegrityStats.json.gz
